No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
68502;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Kokoe;93781
68503;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Liwulompona;93781
68504;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Pangilia;93781
68505;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Talaga Besar;93781
68506;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Talaga Dua;93781
68507;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Talaga Satu;93781
68508;Sulawesi Tenggara;Kabupaten;Buton Tengah;Talaga Raya;Wulu;93781
68509;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Bonegunu;93673
68510;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Buranga;93673
68511;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Damai Laborona;93673
68512;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Een Sumala;93673
68513;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Gunung Sari;93673
68514;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Koboruno;93673
68515;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Koepisino;93673
68516;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Laanoipi;93673
68517;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Langere;93673
68518;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Ngapa'ea;93673
68519;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Rante Gola;93673
68520;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Ronta;93673
68521;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Tatombuli;93673
68522;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Waode Angkalo;93673
68523;Sulawesi Tenggara;Kabupaten;Buton Utara;Bonegunu;Waode Kalowo;93673
68524;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Baluara;93673
68525;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Bente;93673
68526;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Bubu;93673
68527;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Bubu Barat;93673
68528;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Kambowa;93673
68529;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Kondo;93673
68530;Sulawesi Tenggara;Kabupaten;Buton Utara;Kambowa;Lagundi;93673
