No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
69002;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Kalahunde;93954
69003;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Labipi;93954
69004;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Lanipa;93954
69005;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Latali;93954
69006;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Majapahit;93954
69007;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Pasampang;93954
69008;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Powalaa;93954
69009;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Salutotong;93954
69010;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;Tarengga;93954
69011;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Tengah;To'lemo;93954
69012;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Amoe;93954
69013;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Kalo;93954
69014;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Lawata;93954
69015;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Lengkong Batu;93954
69016;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Mataleuno;93954
69017;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Pakue;93954
69018;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Puundoho;93954
69019;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Saludongka;93954
69020;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Pakue Utara;Teposua;93954
69021;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Bangsala;93955
69022;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Larui;93955
69023;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Ponggi;93955
69024;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Porehu;93955
69025;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Sarambu;93955
69026;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Tangga Ruru;93955
69027;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Tinuna;93955
69028;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Porehu;Tobela;93955
69029;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Landolia;93956
69030;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Lawekara;93956
69031;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Maroko;93956
69032;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Pohu;93956
69033;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Rante Angin;93956
69034;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Rante Baru;93956
69035;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Rante Angin;Torotua;93956
69036;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Lapolu;93957
69037;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Lawadia;93957
69038;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Mattiro Bulu;93957
69039;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Tahibua;93957
69040;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Tanggeau;93957
69041;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Tiwu;93957
69042;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tiwu;Watumea;93957
69043;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tolala;Bahari;93955
69044;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tolala;Lawaki Jaya;93955
69045;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tolala;Lelewulu;93955
69046;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tolala;Loka;93955
69047;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tolala;Patikala;93955
69048;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Tolala;Tolala;93955
69049;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Lahabaru;93958
69050;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Lelehao;93958
69051;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Nyule;93958
69052;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Samaturu;93958
69053;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Sapoiha;93958
69054;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Sarona;93958
69055;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Tambuha;93958
69056;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Watunohu;Watunohu;93958
69057;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Latawe;93956
69058;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Pumbolo;93956
69059;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Salurengko;93956
69060;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Tinukari;93956
69061;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Ulu Wawo;93956
69062;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Walasiho;93956
69063;Sulawesi Tenggara;Kabupaten;Kolaka Utara;Wawo;Wawo;93956
69064;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Abuki;93452
69065;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Aleuti;93452
69066;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Alosika;93452
69067;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Arubia;93452
69068;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Asolu;93452
69069;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Atodopoi;93452
69070;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Epeeya;93452
69071;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Garuda;93452
69072;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Kasuwura Indah;93452
69073;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Kumapo;93452
69074;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Langgea;93452
69075;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Matanggorai;93452
69076;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Mekarjaya;93452
69077;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Padang Mekar;93452
69078;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Padangguni;93452
69079;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Padangguni Utama;93452
69080;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Punggaluku;93452
69081;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Sambaosu;93452
69082;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Sambeani;93452
69083;Sulawesi Tenggara;Kabupaten;Konawe;Abuki;Walay;93452
69084;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Amandete;93463
69085;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Amonggedo;93463
69086;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Amonggedo Baru;93463
69087;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Anahinunu;93463
69088;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Benua;93463
69089;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Dunggua;93463
69090;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Lalonona;93463
69091;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Mata Bura;93463
69092;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Mata Iwoi;93463
69093;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Mendikonu;93463
69094;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Puasana;93463
69095;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Ulu Benua;93463
69096;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Watulawu;93463
69097;Sulawesi Tenggara;Kabupaten;Konawe;Amonggedo;Wawohine;93463
69098;Sulawesi Tenggara;Kabupaten;Konawe;Anggaberi;Andabia;93419
69099;Sulawesi Tenggara;Kabupaten;Konawe;Anggaberi;Anggaberi;93418
69100;Sulawesi Tenggara;Kabupaten;Konawe;Anggaberi;Lawulo;93419
69101;Sulawesi Tenggara;Kabupaten;Konawe;Anggaberi;Parauna;93417
69102;Sulawesi Tenggara;Kabupaten;Konawe;Anggaberi;Toriki;93417
69103;Sulawesi Tenggara;Kabupaten;Konawe;Anggaberi;Unaasi;93417
69104;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Ambodiaa;93452
69105;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Angohi;93452
69106;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Asinua Jaya;93452
69107;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Asipako;93452
69108;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Awua Jaya;93452
69109;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Awua Sari;93452
69110;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Lasada;93452
69111;Sulawesi Tenggara;Kabupaten;Konawe;Asinua;Nekudu;93452
69112;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Amosilu;93354
69113;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Andomesinggo;93354
69114;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Asunde;93354
69115;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Besulutu;93354
69116;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Labela;93354
69117;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Laloumera;93354
69118;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Lawonua;93354
69119;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Onembute;93354
69120;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Punggaluku;93354
69121;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Puundoho;93354
69122;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Ranomolua;93354
69123;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Silea;93354
69124;Sulawesi Tenggara;Kabupaten;Konawe;Besulutu;Ulupohara;93354
69125;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Besu;93354
69126;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Diolo;93354
69127;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Lalonggaluku;93354
69128;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Laosu;93354
69129;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Laosu Jaya;93354
69130;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Mendikonu;93354
69131;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Morosi;93354
69132;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Paku;93354
69133;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Paku Jaya;93354
69134;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Pebunooha;93354
69135;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Pebunooha Dalam;93354
69136;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Porara;93354
69137;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Puurui (Puuruy);93354
69138;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Rambu Kongga;93354
69139;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Rumbia;93771
69140;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Tanggobu;93354
69141;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Tondowatu;93354
69142;Sulawesi Tenggara;Kabupaten;Konawe;Bondoala;Wonua Morini;93354
69143;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Kapoiala;93354
69144;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Kapoiala Baru;93354
69145;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Labotoy;93354
69146;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Lalimbue;93354
69147;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Lalimbue Jaya;93354
69148;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Lalonggombuno;93354
69149;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Lamendora;93354
69150;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Muara Sampara;93354
69151;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Pereoe;93354
69152;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Sambaraasi;93354
69153;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Tani Indah;93354
69154;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Tombawatu;93354
69155;Sulawesi Tenggara;Kabupaten;Konawe;Kapoiala (Kapoyala);Ulu Lalimbue;93354
69156;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Asinowowo;93461
69157;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Bungguosu;93461
69158;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Hudoa;93461
69159;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Konawe;93461
69160;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Mokowu;93461
69161;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Sanggona;93461
69162;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Tawanga;93461
69163;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Tudaone;93461
69164;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Uelawu;93461
69165;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Uete;93461
69166;Sulawesi Tenggara;Kabupaten;Konawe;Konawe;Wonua Mbae;93461
69167;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Bumi Indah;93351
69168;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Lalombonda;93351
69169;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Lolanggasumeeto;93351
69170;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Nii Tanasa;93351
69171;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Puuwonua;93351
69172;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Rapambinopaka;93351
69173;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Toli Toli;93351
69174;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Toolawawo;93351
69175;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Watunggarandu;93351
69176;Sulawesi Tenggara;Kabupaten;Konawe;Lalonggasumeeto;Wawobungi;93351
69177;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Amberi;93464
69178;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Asaki (Isaki);93464
69179;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Awuliti (Wawuliti);93464
69180;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Lambuya;93464
69181;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Meraka;93464
69182;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Tanggobu;93464
69183;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Tetembomua;93464
69184;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Ulu Meraka (Sukamaju);93464
69185;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Wanuahoa;93464
69186;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Watarema;93464
69187;Sulawesi Tenggara;Kabupaten;Konawe;Lambuya;Waworaha;93464
69188;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Ambekaeri Utama;93461
69189;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Amboniki;93461
69190;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Andoluto;93461
69191;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Lalowata;93461
69192;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Latoma Jaya;93461
69193;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Nesowi;93461
69194;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Pinole;93461
69195;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Titioa;93461
69196;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Wawolatoma;93461
69197;Sulawesi Tenggara;Kabupaten;Konawe;Latoma;Waworaha;93461
69198;Sulawesi Tenggara;Kabupaten;Konawe;Meluhu;Ahuhu;93461
69199;Sulawesi Tenggara;Kabupaten;Konawe;Meluhu;Lamelay;93461
69200;Sulawesi Tenggara;Kabupaten;Konawe;Meluhu;Larowiu;93461
69201;Sulawesi Tenggara;Kabupaten;Konawe;Meluhu;Meluhu;93461
69202;Sulawesi Tenggara;Kabupaten;Konawe;Meluhu;Tudameaso;93461
69203;Sulawesi Tenggara;Kabupaten;Konawe;Meluhu;Woerahi;93461
69204;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Kasumeia;93464
69205;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Kumapo;93464
69206;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Mataiwoi;93464
69207;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Nopoosi;93464
69208;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Onembute;93464
69209;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Silea;93464
69210;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Tawapandere;93464
69211;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Trimulya;93464
69212;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Ulu Onembute;93464
69213;Sulawesi Tenggara;Kabupaten;Konawe;Onembute;Ulumeraka;93464
69214;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Ahuawatu;93463
69215;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Ambulanu;93463
69216;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Amesiu;93463
69217;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Belatu;93463
69218;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Hongoa;93463
69219;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Lahonggumbi;93463
69220;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Mumundowu;93463
69221;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Pondidaha;93463
69222;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Puumbinisi;93463
69223;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Tirawuta;93463
69224;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Wawolemo;93463
69225;Sulawesi Tenggara;Kabupaten;Konawe;Pondidaha;Wonua Monapa;93463
69226;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Ahuawali;93464
69227;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Lalonggatu;93464
69228;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Laloonaha;93464
69229;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Mokaleleo;93464
69230;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Poanaha (Puanaha);93411
69231;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Puriala;93464
69232;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Puuhopa;93464
69233;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Puusangi;93464
69234;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Sonai;93464
69235;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Tetehaka;93464
69236;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Tetewaru;93464
69237;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Unggulino;93464
69238;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Watundehoa (Watandehoa);93464
69239;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Watusa;93464
69240;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Wawosanggula;93464
69241;Sulawesi Tenggara;Kabupaten;Konawe;Puriala;Wonua/Wanua Morome;93464
69242;Sulawesi Tenggara;Kabupaten;Konawe;Routa;Parudongka;93353
69243;Sulawesi Tenggara;Kabupaten;Konawe;Routa;Routa;93353
69244;Sulawesi Tenggara;Kabupaten;Konawe;Routa;Tirawonua;93353
69245;Sulawesi Tenggara;Kabupaten;Konawe;Routa;Walandawe;93353
69246;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Abeli Sawa (Abelisawah);93354
69247;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Andadowi;93354
69248;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Andaroa;93354
69249;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Andepali;93354
69250;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Anggalomoare;93354
69251;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Baini;93354
69252;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Bao-Bao;93354
69253;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Bondoala;93354
69254;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Galu;93354
69255;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Konggamea;93354
69256;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Lakomea;93354
69257;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Lasoso;93354
69258;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Pohara;93354
69259;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Polua;93354
69260;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Pusangi (Puusangi);93354
69261;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Puuloro;93354
69262;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Rawua;93354
69263;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Sampara;93354
69264;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Tabanggele;93354
69265;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Totambe Jaya;93354
69266;Sulawesi Tenggara;Kabupaten;Konawe;Sampara;Wawolimbue;93354
69267;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Atowatu;93351
69268;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Bajo Indah;93351
69269;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Bajoe;93351
69270;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Bokori;93351
69271;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Leppe;93351
69272;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Mekar;93351
69273;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Saponda;93351
69274;Sulawesi Tenggara;Kabupaten;Konawe;Soropia;Saponda Laut;93351
