No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
69502;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Basala;Teporombua;93875
69503;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Awalo;93875
69504;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Benua;93875
69505;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Benua Utama;93875
69506;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Horodopi;93875
69507;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Kosambi;93875
69508;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Lamara;93875
69509;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Palawewu (Palowewu);93875
69510;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Puosu (Puuosu);93875
69511;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Puunggawu Kawu (Punggawukawu);93875
69512;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Puuwehuko;93875
69513;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Tetehaka;93875
69514;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Benua;Uelawa;93875
69515;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Adaka Jaya;93815
69516;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Adayu Indah;93814
69517;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Andolo Utama;93813
69518;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Anggokoti;93819
69519;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Asembu Mulya;93819
69520;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Awolo;93816
69521;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Buke;93812
69522;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Pelandia;93812
69523;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Puudaria Jaya;93812
69524;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Raha Menda Jaya;93819
69525;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Ranooha Lestari;93814
69526;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Silea Jaya;93814
69527;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Tetenggolasa;93814
69528;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Tirto/Tirta Wartani;93814
69529;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Wanua Maroa;93814
69530;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Buke;Wulele Jaya;93814
69531;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Adinete;93395
69532;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Alosi;93395
69533;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Amolengu;93395
69534;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Ampera;93395
69535;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Awunio;93395
69536;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Batu Putih;93395
69537;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Kolono;93395
69538;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Lamapu;93395
69539;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Lambangi;93395
69540;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Lamotau;93395
69541;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Langgapulu;93395
69542;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Langgowala;93395
69543;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Mataiwoi;93395
69544;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Matandahi;93395
69545;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Meletumbu (Meletumbo);93395
69546;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Mondoe Jaya;93395
69547;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Ngapawali;93395
69548;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Puudongi;93395
69549;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Puupi;93395
69550;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Rambu-Rambu;93395
69551;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Roda;93395
69552;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Rumba-Rumba;93395
69553;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Sarandua;93395
69554;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Sawah;93395
69555;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Silea;93395
69556;Sulawesi Tenggara;Kabupaten;Konawe Selatan;Kolono;Tiraosu;93395
