No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
70002;Sulawesi Tenggara;Kabupaten;Muna;Kontunaga;Mabodo;93658
70003;Sulawesi Tenggara;Kabupaten;Muna;Kontunaga;Masalili;93658
70004;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Bangun Sari;93654
70005;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Bonea;93654
70006;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Kombungo;93654
70007;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Labone;93654
70008;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Labunti;93654
70009;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Lasalepa;93654
70010;Sulawesi Tenggara;Kabupaten;Muna;Lasalepa;Parida;93654
70011;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Bolo;93658
70012;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Kondongia;93658
70013;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Korihi;93658
70014;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Lakarinta;93658
70015;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Liangkobori;93658
70016;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Lohia;93658
70017;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Mantobua;93658
70018;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Waarah;93658
70019;Sulawesi Tenggara;Kabupaten;Muna;Lohia;Wabintingi;93658
70020;Sulawesi Tenggara;Kabupaten;Muna;Maligano;Langkoroni;93674
70021;Sulawesi Tenggara;Kabupaten;Muna;Maligano;Lapole;93674
70022;Sulawesi Tenggara;Kabupaten;Muna;Maligano;Latompa;93674
70023;Sulawesi Tenggara;Kabupaten;Muna;Maligano;Maligano;93674
70024;Sulawesi Tenggara;Kabupaten;Muna;Maligano;Pohorua;93674
70025;Sulawesi Tenggara;Kabupaten;Muna;Maligano;Raimuna;93674
70026;Sulawesi Tenggara;Kabupaten;Muna;Marobo;Marobo;93663
70027;Sulawesi Tenggara;Kabupaten;Muna;Marobo;Pasikuta;93663
70028;Sulawesi Tenggara;Kabupaten;Muna;Marobo;Poaroha;93663
70029;Sulawesi Tenggara;Kabupaten;Muna;Marobo;Tapitapi;93663
70030;Sulawesi Tenggara;Kabupaten;Muna;Marobo;Wadolao / Wadolau;93663
70031;Sulawesi Tenggara;Kabupaten;Muna;Napabalano;Lambiku;93654
70032;Sulawesi Tenggara;Kabupaten;Muna;Napabalano;Langkumapo;93654
70033;Sulawesi Tenggara;Kabupaten;Muna;Napabalano;Napabalano;93654
70034;Sulawesi Tenggara;Kabupaten;Muna;Napabalano;Napalakura;93654
70035;Sulawesi Tenggara;Kabupaten;Muna;Napabalano;Pentiro;93654
70036;Sulawesi Tenggara;Kabupaten;Muna;Napabalano;Tampo;93654
70037;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Kolasa;93663
70038;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Labulu-Bulu;93663
70039;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Laiba;93663
70040;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Latampu (Tampu);93663
70041;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Oelongko;93663
70042;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Parigi;93663
70043;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Wakumoro;93663
70044;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Walambeno Wite;93663
70045;Sulawesi Tenggara;Kabupaten;Muna;Parigi;Wapuale;93663
