No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
70502;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Barat;Otam Barat;95751
70503;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Barat;Passi 1;95751
70504;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Barat;Passi 2;95751
70505;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Barat;Poyuyanan;95751
70506;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Barat;Wangga;95751
70507;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Barat;Wangga Satu;95751
70508;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Insil;95751
70509;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Insil Baru;95751
70510;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Manembo;95751
70511;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Mobuya;95751
70512;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Pangian;95751
70513;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Pangian Barat;95751
70514;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Pangian Tengah;95751
70515;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Poopo;95751
70516;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Poopo Barat;95751
70517;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Poopo Selatan;95751
70518;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Sinsingon;95751
70519;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Sinsingon Barat;95751
70520;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Passi Timur;Sinsingon Timur;95751
70521;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Gogaluman;95753
70522;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Mariri Baru;95753
70523;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Mariri Dua (II);95753
70524;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Mariri Lama;95753
70525;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Mariri Satu (I);95753
70526;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Mondatong;95753
70527;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Mondatong Baru;95753
70528;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Nanasi;95753
70529;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Nanasi Timur;95753
70530;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Nonapan;95753
70531;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Nonapan Baru;95753
70532;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Nonapan Dua;95753
70533;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Nonapan Satu;95753
70534;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Poigar;95753
70535;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Poigar II;95753
70536;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Poigar III;95753
70537;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Pomoman;95753
70538;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Tanjung Mariri;95753
70539;Sulawesi Utara;Kabupaten;Bolaang Mongondow;Poigar;Tiberias;95753
