No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
71002;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat;Paseng;95862
71003;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat;Pehe;95862
71004;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat;Peling;95862
71005;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat;Pelingsawang;95862
71006;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Batusenggo;95862
71007;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Kapeta;95862
71008;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Laghaeng;95862
71009;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Mahuneni;95862
71010;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Makoa (Mekar Sari);95862
71011;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Talawid;95862
71012;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Selatan;Tanaki;95862
71013;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Batubulan;95862
71014;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Hiung;95862
71015;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Kawahang;95862
71016;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Kiawang;95862
71017;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Kinali;95862
71018;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Mini;95862
71019;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Nameng;95862
71020;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Barat Utara;Winangun;95862
71021;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Tengah;Beong;95861
71022;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Tengah;Dompase;95861
71023;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Tengah;Lai;95861
71024;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Tengah;Salili;95861
71025;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Akesimbeka;95861
71026;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Apelawo;95861
71027;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Bahu;95861
71028;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Bebali;95861
71029;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Buise;95861
71030;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Bukide;95861
71031;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Dame;95861
71032;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Dame I;95861
71033;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Deahe (Beaha);95861
71034;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Kanang;95861
71035;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Karalung;95861
71036;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Karalung Satu;95861
71037;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Lia;95861
71038;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Lia Satu;95861
71039;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Tarorane;95861
71040;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur;Tatahadeng (Tatehadeng);95861
71041;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Balirangen;95861
71042;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Bandil;95861
71043;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Biau;95861
71044;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Biau Seha;95861
71045;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Binalu;95861
71046;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Buhias;95861
71047;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Kalihiang;95861
71048;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Lahopang;95861
71049;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Mala;95861
71050;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Matole;95861
71051;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Pahepa;95861
71052;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Pangirolong;95861
71053;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Sawang;95861
71054;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Siau Timur Selatan;Tapile;95861
71055;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Apengsala;95863
71056;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Bahoi;95863
71057;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Balehumara;95863
71058;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Barangka Pehe;95863
71059;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Boto;95863
71060;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Haasi;95863
71061;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Laingpatehi;95863
71062;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Lesah;95863
71063;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Lesah Rende;95863
71064;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Mahangiang;95863
71065;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Mohonsawang;95863
71066;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Mulengan (Mulengen);95863
71067;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Pahiama;95863
71068;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Pumpente;95863
71069;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang;Tulusang (Tulusan);95863
71070;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Selatan;Batumawira;95863
71071;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Selatan;Bira Kimia (Birakiama);95863
71072;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Selatan;Birarikei;95863
71073;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Selatan;Buha;95863
71074;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Selatan;Humbia;95863
71075;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Selatan;Kisihang;95863
71076;Sulawesi Utara;Kabupaten;Kepulauan Siau Tagulandang Biaro (Sitaro);Tagulandang Utara;Bawo;95863
