No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
71502;Sulawesi Utara;Kabupaten;Minahasa;Pineleng;Sea Tumpengan;95661
71503;Sulawesi Utara;Kabupaten;Minahasa;Pineleng;Warembungan;95661
71504;Sulawesi Utara;Kabupaten;Minahasa;Pineleng;Winangun Atas;95661
71505;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Kaima;95681
71506;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Kasuratan;95681
71507;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Leleko;95681
71508;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Parepei (Parepey);95681
71509;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Paslaten;95681
71510;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Pulutan;95681
71511;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Sendangan;95681
71512;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Sinuian;95681
71513;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Talikuran;95681
71514;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Tampusu;95681
71515;Sulawesi Utara;Kabupaten;Minahasa;Remboken;Timu;95681
71516;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Kauneran;95691
71517;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Kauneran Satu;95691
71518;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Kolongan Atas;95691
71519;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Kolongan Atas Dua;95691
71520;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Kotongan Atas Satu;95691
71521;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Leilem;95691
71522;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Leilem Dua;95691
71523;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Leilem Tiga;95691
71524;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Rambunan;95691
71525;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Rambunan Amian;95691
71526;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Sandangan Satu;95691
71527;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Sawangan;95691
71528;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Sendangan;95691
71529;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Talikuran;95691
71530;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Talikuran Satu;95691
71531;Sulawesi Utara;Kabupaten;Minahasa;Sonder;Timbukar;95691
