No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
72002;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Barat;Wawunian;95377
72003;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Batu;95375
72004;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Kaweruan;95375
72005;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Kokoleh Dua;95375
72006;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Kokoleh Satu;95375
72007;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Paslaten;95375
72008;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Wangurer;95375
72009;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Selatan;Werot;95375
72010;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Ehe;95375
72011;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Kahuku;95375
72012;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Kalinaun;95375
72013;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Kinunang;95375
72014;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Libas;95375
72015;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Lihunu;95375
72016;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Likupang Dua;95375
72017;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Likupang Kampung Ambong;95375
72018;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Likupang Satu;95375
72019;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Maen;95375
72020;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Marinsow (Marinsouw);95375
72021;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Pinenek;95375
72022;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Pulisan;95375
72023;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Resetlemen;95375
72024;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Rinondoran;95375
72025;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Sarawet (Serawet);95375
72026;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Wineru;95375
72027;Sulawesi Utara;Kabupaten;Minahasa Utara;Likupang Timur;Winuri;95375
