No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
72502;Sumatera Barat;Kota;Padang Panjang;Padang Panjang Timur;Sigando;27126
72503;Sumatera Barat;Kota;Padang Panjang;Padang Panjang Timur;Tanah Pak Lambik;27121
72504;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Enam Lingkung;Lubuk Pandan;25584
72505;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Enam Lingkung;Sicincin;25584
72506;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Enam Lingkung;Sungai Asam;25584
72507;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Kayu Tanam;Anduring (Anduriang);25584
72508;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Kayu Tanam;Guguak;25584
72509;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Kayu Tanam;Kapalo Hilalang;25584
72510;Sumatera Barat;Kabupaten;Padang Pariaman;2 X 11 Kayu Tanam;Kayu Tanam;25584
72511;Sumatera Barat;Kabupaten;Padang Pariaman;Batang Anai;Buayan Lubuk Alung;25586
72512;Sumatera Barat;Kabupaten;Padang Pariaman;Batang Anai;Kasang;25586
72513;Sumatera Barat;Kabupaten;Padang Pariaman;Batang Anai;Katapiang;25586
72514;Sumatera Barat;Kabupaten;Padang Pariaman;Batang Anai;Sungai Buluh;25586
72515;Sumatera Barat;Kabupaten;Padang Pariaman;Batang Gasan;Gasan Gadang;25563
72516;Sumatera Barat;Kabupaten;Padang Pariaman;Batang Gasan;Malai V Suku;25563
72517;Sumatera Barat;Kabupaten;Padang Pariaman;Enam Lingkung;Gadua/Gadur;25584
72518;Sumatera Barat;Kabupaten;Padang Pariaman;Enam Lingkung;Koto Tinggi;25584
72519;Sumatera Barat;Kabupaten;Padang Pariaman;Enam Lingkung;Pakandangan;25584
72520;Sumatera Barat;Kabupaten;Padang Pariaman;Enam Lingkung;Parit Malintang;25584
72521;Sumatera Barat;Kabupaten;Padang Pariaman;Enam Lingkung;Toboh Ketek;25584
72522;Sumatera Barat;Kabupaten;Padang Pariaman;IV Koto Aur Malintang;Balai Baiak Malai III Koto;25564
72523;Sumatera Barat;Kabupaten;Padang Pariaman;IV Koto Aur Malintang;III Koto Aur Malintang;25564
72524;Sumatera Barat;Kabupaten;Padang Pariaman;IV Koto Aur Malintang;III Koto Aur Malintang Selatan;25564
