No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
73002;Sumatera Barat;Kabupaten;Sijunjung;Koto VII;Tanjung;27562
73003;Sumatera Barat;Kabupaten;Sijunjung;Kupitan;Batu Manjulur;27564
73004;Sumatera Barat;Kabupaten;Sijunjung;Kupitan;Desa Kampung Baru;27564
73005;Sumatera Barat;Kabupaten;Sijunjung;Kupitan;Padang Sibusuk;27564
73006;Sumatera Barat;Kabupaten;Sijunjung;Kupitan;Pamuatan;27564
73007;Sumatera Barat;Kabupaten;Sijunjung;Lubuak Tarok;Buluah Kasok;27553
73008;Sumatera Barat;Kabupaten;Sijunjung;Lubuak Tarok;Kampung Dalam;27553
73009;Sumatera Barat;Kabupaten;Sijunjung;Lubuak Tarok;Lalan;27553
73010;Sumatera Barat;Kabupaten;Sijunjung;Lubuak Tarok;Latang;27553
73011;Sumatera Barat;Kabupaten;Sijunjung;Lubuak Tarok;Lubuak Tarok;27553
73012;Sumatera Barat;Kabupaten;Sijunjung;Lubuak Tarok;Silongo;27553
73013;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Aie Angek;27553
73014;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Durian Gadang;27553
73015;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Kandang Baru;27553
73016;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Muaro;27553
73017;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Paru;27553
73018;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Pematang Panjang;27553
73019;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Sijunjung;27553
73020;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Silokek;27553
73021;Sumatera Barat;Kabupaten;Sijunjung;Sijunjung;Solok Ambah;27511
73022;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Kumanis;27563
73023;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Mangganti;27563
73024;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Silantai;27563
73025;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Sisawah;27563
73026;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Sumpur Kudus;27563
73027;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Sumpur Kudus Selatan;27563
73028;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Tamparungo;27563
73029;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Tanjuang Labuah;27563
73030;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Tanjung Bonai Aur;27563
73031;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Tanjung Bonai Aur Selatan;27563
73032;Sumatera Barat;Kabupaten;Sijunjung;Sumpur Kudus;Unggan;27563
73033;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Langki;27571
73034;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Pulasan;27571
73035;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Sibakur;27571
73036;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Sinyamu;27571
73037;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Tanjung Gadang;27571
73038;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Tanjung Lolo;27571
73039;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Taratak Baru;27571
73040;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Taratak Baru Utara;27571
73041;Sumatera Barat;Kabupaten;Sijunjung;Tanjung Gadang;Timbulun;27571
73042;Sumatera Barat;Kota;Solok;Lubuk Sikarah;Aro IV Korong;27317
73043;Sumatera Barat;Kota;Solok;Lubuk Sikarah;IX Korong;27314
73044;Sumatera Barat;Kota;Solok;Lubuk Sikarah;Kampai Tabu Kerambil/Karambia;27315
73045;Sumatera Barat;Kota;Solok;Lubuk Sikarah;Simpang Rumbio;27316
73046;Sumatera Barat;Kota;Solok;Lubuk Sikarah;Sinapa Piliang;27313
73047;Sumatera Barat;Kota;Solok;Lubuk Sikarah;Tanah Garam;27312
73048;Sumatera Barat;Kota;Solok;Lubuk Sikarah;VI Suku;27311
73049;Sumatera Barat;Kota;Solok;Tanjung Harapan;Kampung Jawa;27321
73050;Sumatera Barat;Kota;Solok;Tanjung Harapan;Koto Panjang;27323
73051;Sumatera Barat;Kota;Solok;Tanjung Harapan;Laing;27325
73052;Sumatera Barat;Kota;Solok;Tanjung Harapan;Nan Balimo;27326
73053;Sumatera Barat;Kota;Solok;Tanjung Harapan;Pasar Pandan Air Mati;27322
73054;Sumatera Barat;Kota;Solok;Tanjung Harapan;Tanjung Paku;27324
73055;Sumatera Barat;Kabupaten;Solok;Bukit Sundi;Bukit Tandang;27381
73056;Sumatera Barat;Kabupaten;Solok;Bukit Sundi;Dilam;27381
73057;Sumatera Barat;Kabupaten;Solok;Bukit Sundi;Kinari;27381
73058;Sumatera Barat;Kabupaten;Solok;Bukit Sundi;Muaro Paneh;27381
73059;Sumatera Barat;Kabupaten;Solok;Bukit Sundi;Parambahan;27381
73060;Sumatera Barat;Kabupaten;Solok;Danau Kembar;Kampung Batu Dalam;27383
