No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
73502;Sumatera Selatan;Kabupaten;Banyuasin;Sumber Marga Telang;Talang Lubuk;30974
73503;Sumatera Selatan;Kabupaten;Banyuasin;Sumber Marga Telang;Terusan Dalam;30974
73504;Sumatera Selatan;Kabupaten;Banyuasin;Sumber Marga Telang;Terusan Muara;30974
73505;Sumatera Selatan;Kabupaten;Banyuasin;Sumber Marga Telang;Terusan Tengah;30974
73506;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Air Batu;30961
73507;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Gasing;30961
73508;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Kenten;30961
73509;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Kenten Laut;30961
73510;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Pangkalan Benteng;30961
73511;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Sukajadi;30961
73512;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Sukamoro;30961
73513;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Sungai Rengit;30961
73514;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Sungairengit Murni;30961
73515;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Talang Buluh;30961
73516;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Talang Keramat;30961
73517;Sumatera Selatan;Kabupaten;Banyuasin;Talang Kelapa;Tanah Mas;30961
73518;Sumatera Selatan;Kabupaten;Banyuasin;Tanjung Lago;Bangun Sari;30961
73519;Sumatera Selatan;Kabupaten;Banyuasin;Tanjung Lago;Banyu Urip;30961
73520;Sumatera Selatan;Kabupaten;Banyuasin;Tanjung Lago;Bunga Karang;30961
73521;Sumatera Selatan;Kabupaten;Banyuasin;Tanjung Lago;Kuala Puntian;30961
73522;Sumatera Selatan;Kabupaten;Banyuasin;Tanjung Lago;Manggar Raya;30961
