No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
74002;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Lubuk Mabar;31419
74003;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Lubuk Tuba;31419
74004;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Muara Cawang;31419
74005;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Pagar Agung;31417
74006;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Penandingan;31419
74007;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Sukajadi;31419
74008;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Talang Tinggi;31419
74009;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Tanjung Agung;31419
74010;Sumatera Selatan;Kabupaten;Lahat;Pseksu;Tanjung Raya;31419
74011;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Jati;31461
74012;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Karang Dalam;31461
74013;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Kerung;31461
74014;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Kuba;31461
74015;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Lubuk Sepang;31461
74016;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Muara Cawang;31461
74017;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Muara Siban;31461
74018;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Pagar Batu;31461
74019;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Perigi;31461
74020;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Pulau Pinang;31461
74021;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Talang Sawah;31461
74022;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Talang Sejemput;31461
74023;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Tanjung Mulak;31461
74024;Sumatera Selatan;Kabupaten;Lahat;Pulau Pinang;Tanjung Sirih;31461
74025;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Gunung Liwat;31356
74026;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Guru Agung;31356
74027;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Kapitan;31356
74028;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Karang Caya;31356
74029;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Pagar Kaya;31356
74030;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Rambai Kaca;31356
74031;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Sukamerindu;31356
74032;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Sukaraja;31356
74033;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Tanjung Agung;31356
74034;Sumatera Selatan;Kabupaten;Lahat;Sukamerindu;Tanjung Raya;31356
74035;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Benteng;31581
74036;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Gunung Agung;31581
74037;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Gunung Kembang;31581
74038;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Gunung Kerto;31581
74039;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Lubuk Dalam;31581
74040;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Lubuk Tabun;31581
74041;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Masam Bulan;31581
74042;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Negeri Kaya;31581
74043;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Pagar Agung;31581
74044;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Pagar Jati;31581
74045;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Pajar Bulan;31581
74046;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Penandingan;31581
74047;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Pulau Panas;31581
74048;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Pulau Panggung;31581
74049;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Sindang Panjang;31581
74050;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Tanjung Bulan;31581
74051;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Tanjung Sakti;31581
74052;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumi;Ulak Lebar;31581
74053;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Batu Rancing;31581
74054;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Genting/Genteng;31581
74055;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Gunung Ayu;31581
74056;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Gunung Meraksa;31581
74057;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Gunung Raya;31581
74058;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Karang Agung;31581
74059;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Kembang Ayun;31581
74060;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Kepala Siring;31581
74061;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Muara Cawang;31581
74062;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Simpang Tiga Pomo/Pumu;31581
74063;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Suban;31581
74064;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Talang Tinggi;31581
74065;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Tanjung Alam;31581
74066;Sumatera Selatan;Kabupaten;Lahat;Tanjung Sakti Pumu;Ujung Pulau;31581
74067;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Air Dingin Baru;31462
74068;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Air Dingin Lama;31462
74069;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Muara Danau;31453
74070;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Padang Perigi;31462
74071;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Pandan Arang Ilir;31462
74072;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Talang Jawa;31453
74073;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Baru;31462
74074;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Bay/Bai;31462
74075;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Kurung Ilir;31462
74076;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Kurung Ulu;31462
74077;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Menang;31453
74078;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Nibung;31462
74079;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Raya;31453
74080;Sumatera Selatan;Kabupaten;Lahat;Tanjung Tebat;Tanjung Tebat;31462
74081;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Bandung Kanan;31611
74082;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Keputraan;31611
74083;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Lubuk Linggau Ilir;31611
74084;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Lubuk Linggau Ulu;31611
74085;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Pasar Permiri;31611
74086;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Sidorejo;31616
74087;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Tapak Lebar;31611
74088;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Dua (II);Ulak Lebar;31611
74089;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Bandung Kiri;31611
74090;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Bandung Ujung;31611
74091;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Kayu Ara;31615
74092;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Lubuk Aman;31614
74093;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Lubuk Durian;31611
74094;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Lubuk Tanjung;31614
74095;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Muara Enim;31611
74096;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Pelita Jaya;31611
74097;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Sukajadi;31613
74098;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Tanjung Aman;31611
74099;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Barat Satu (I);Tanjung Indah;31611
74100;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Selatan Dua (II);Eka Marga;31626
74101;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Selatan Dua (II);Karang Ketuan;31626
74102;Sumatera Selatan;Kota;Lubuk Linggau;Lubuk Linggau Selatan Dua (II);Marga Mulya;31626
