No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
74502;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Karang Makmur;30758
74503;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Karang Mukti;30758
74504;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Karang Rejo;30758
74505;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Karang Sari;30758
74506;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Karang Tirta;30758
74507;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Karya Mukti;30758
74508;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Madya Mulya;30758
74509;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Mandala Sari;30758
74510;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Mekar Sari;30758
74511;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Mulya Agung;30758
74512;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Mulya Jaya;30758
74513;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Perumpung Raya;30758
74514;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Purwo Agung (Purwa Agung);30758
74515;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Ringin Agung;30758
74516;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Sari Agung;30758
74517;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Sri Gading;30758
74518;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Sri Karang Rejo;30758
74519;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Suka Makmur;30758
74520;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Sukajadi;30758
74521;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lalan (Sungai Lalan);Tri Mulya Agung;30758
74522;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Bumi Ayu;30752
74523;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Karang Anyar;30752
74524;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Karang Ringin I;30752
74525;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Karang Ringin II;30752
74526;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Karang Waru;30752
74527;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Napal;30752
74528;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Pandan Dulang;30752
74529;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Rantau Kasih;30752
74530;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Rantau Panjang;30752
74531;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Simpang Sari;30752
74532;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Talang Piase;30752
74533;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Tanjung Durian;30752
74534;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Ulak Paceh;30752
74535;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Ulak Paceh Jaya;30752
74536;Sumatera Selatan;Kabupaten;Musi Banyuasin;Lawang Wetan;Ulak Teberau;30752
74537;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Air Putih Ilir;30758
74538;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Air Putih Ulu;30758
74539;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Bangun Harjo/Harja;30758
74540;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Bukit Indah;30758
74541;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Cinta Karya;30758
74542;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Sialang Agung;30758
74543;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Sido Mukti;30758
74544;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Sidorahayu;30758
74545;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Suka Damai;30758
74546;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Suka Makmur;30758
74547;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Sukajaya;30758
74548;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Sukamaju;30758
74549;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Sumber Rejeki;30758
74550;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Tanjung Kaputran;30758
74551;Sumatera Selatan;Kabupaten;Musi Banyuasin;Plakat Tinggi (Pelakat Tinggi);Warga Mulya;30758
74552;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Air Balui;30759
74553;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Air Itam;30759
74554;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Jud I;30759
74555;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Jud II;30759
74556;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Keban I;30759
74557;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Keban II;30759
74558;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Kemang;30759
74559;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Macang Sakti;30759
74560;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Nganti;30759
74561;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Ngulak;30759
74562;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Ngulak I;30759
74563;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Ngulak II;30759
74564;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Ngulak III;30759
74565;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Ngunang;30759
74566;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Panai;30759
74567;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Penggage;30759
74568;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Tanjung Raya;30759
74569;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Terusan;30759
74570;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sanga Desa;Ulak Embacang;30759
74571;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Bailangu;30711
74572;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Bailangu Timur;30711
74573;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Balai Agung;30711
74574;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Bandar Jaya;30711
74575;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Kayuara;30711
74576;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Lumpatan;30711
74577;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Lumpatan Dua (2);30711
74578;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Muara Teladan;30711
74579;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Rimbah Ukur;30711
74580;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Serasan Jaya;30711
74581;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Soak Baru;30711
74582;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Sukarami;30711
74583;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Sungai Batang;30711
74584;Sumatera Selatan;Kabupaten;Musi Banyuasin;Sekayu;Sungai Medak;30711
