No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
75002;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Munggu;30865
75003;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Nagasari;30865
75004;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Rantau Sialang;30865
75005;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Seri Kembang;30865
75006;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Seri Menanti;30865
75007;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Suka Cinta;30865
75008;Sumatera Selatan;Kabupaten;Ogan Ilir;Muara Kuang;Tanabang Ulu;30865
75009;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Lubuk Bandung;30664
75010;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Paya Besar;30664
75011;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Payaraman Barat;30664
75012;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Payaraman Timur;30664
75013;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Rengas I;30664
75014;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Rengas II;30664
75015;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Seri Kembang I;30664
75016;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Seri Kembang II;30664
75017;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Seri Kembang III;30664
75018;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Talang Seleman;30664
75019;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Tanjung Lalang;30664
75020;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Tebedak I;30664
75021;Sumatera Selatan;Kabupaten;Ogan Ilir;Payaraman;Tebedak II;30664
75022;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Aurstanding;30653
75023;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Babatan Saudagar;30653
75024;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Harapan;30653
75025;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Ibul Besar I;30653
75026;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Ibul Besar II;30653
75027;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Ibul Besar III;30653
75028;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Kedukan Bujang;30653
75029;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Lebung Jangkar;30653
75030;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Mekarjaya;30653
75031;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Muara Baru;30653
75032;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Muara Dua;30653
75033;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Palu;30653
75034;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Pegayut;30653
75035;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Pelabuhan Dalam;30653
75036;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Pemulutan Ilir;30653
75037;Sumatera Selatan;Kabupaten;Ogan Ilir;Pemulutan;Pemulutan Ulu;30653
