No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
75502;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Sundan;32158
75503;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Tanjung Agung;32158
75504;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Tanjung Lengkayap;32158
75505;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Tihang;32158
75506;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Tualang;32158
75507;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Umpan;32158
75508;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lengkiti;Way Heling;32158
75509;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Air Wall;32192
75510;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Bandar Agung;32192
75511;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Banu Ayu;32192
75512;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Belatung;32192
75513;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Gunung Meraksa;32192
75514;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Karta Mulia;32192
75515;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Kurup;32192
75516;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Lubuk Banjar;32192
75517;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Lubuk Batang Baru;32192
75518;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Lubuk Batang Lama;32192
75519;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Lunggaian;32192
75520;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Markisa;32192
75521;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Merbau;32192
75522;Sumatera Selatan;Kabupaten;Ogan Komering Ulu;Lubuk Batang;Tanjung Dalam;32192
