No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
76002;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang;Way Halom;32361
76003;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Bangun Harjo;32361
76004;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Banyumas Asri;32361
76005;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Berasan Mulya;32361
76006;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Bukit Mas;32361
76007;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Gumuk Rejo;32361
76008;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Karang Tengah;32361
76009;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Kedu;32361
76010;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Kedung Rejo;32361
76011;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Kumpul Rejo;32361
76012;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Limansari;32361
76013;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Metro Rejo;32361
76014;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Pengandonan;32361
76015;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Raman Agung;32361
76016;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Rejodadi;32361
76017;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Rowodadi;32361
76018;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sri Katon;32361
76019;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Suka Maju;32361
76020;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sukodadi;32361
76021;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sukoharjo;32361
76022;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sumber Asri;32361
76023;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sumber Harjo;32361
76024;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sumber Mulyo;32361
76025;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sumber Tani;32361
76026;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Sumedang Sari;32361
76027;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Tambak Boyo;32361
76028;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Tanjung Agung;32361
76029;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Tanjung Mulya;32361
76030;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Tanjungmas;32361
76031;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Tanjungsari;32361
76032;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Madang Timur;Toko Rejo;32361
76033;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Anyar;32361
76034;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Muncak Kabau;32361
76035;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Pandan Sari III;32361
76036;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Rawasari;32361
76037;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Sri Bulan;32361
76038;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Sri Bunga;32361
76039;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Bangsa Raja;Surya Menang;32361
76040;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Bandar Jaya;32367
76041;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Bantan;32367
76042;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Bantan Pelita;32367
76043;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Banuayu;32367
76044;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Banumas;32367
76045;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Negeri Agung;32367
76046;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Negeri Agung Jaya;32367
76047;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Negeri Pakuan;32367
76048;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Pahang Asri;32367
76049;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Pemetung Basuki;32367
76050;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Pulau Negara;32367
76051;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Saung Dadi;32367
76052;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Buay Pemuka Peliung;Terantang/Trantang Sakti;32367
76053;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Baturaja Bungin;32381
76054;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Negeri Ratu;32387
76055;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Negeri Ratu Baru;32387
76056;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Peracak;32381
76057;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Sabah Lioh;32387
76058;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Suka Baru;32387
76059;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Tulang Bawang;32387
76060;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Bunga Mayang;Tunas Peracak;32387
76061;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Campang Tiga Ilir;32384
76062;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Campang Tiga Jaya;32384
76063;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Campang Tiga Ulu;32384
76064;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Cempaka;32384
76065;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Gunung Batu;32384
76066;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Gunung Jati;32384
76067;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Harisan Jaya;32384
76068;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Kuripan;32384
76069;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Meluai Indah;32384
76070;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Negeri Sakti;32384
76071;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Sukabumi;32384
76072;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Sukaraja;32384
76073;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Cempaka;Ulak Baru;32384
76074;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Bunga Mayang;32381
76075;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Condong;32381
76076;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Jayapura;32381
76077;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Kambang;32381
76078;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Mendah;32381
76079;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Peracak Jaya;32381
76080;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Tumijaya;32381
76081;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Jayapura;Way Salak;32381
76082;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Agung Jati;32362
76083;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Gunung Terang;32362
76084;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Harjo Mulyo;32362
76085;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Harjo Mulyo Jaya;32362
76086;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Jatisari;32362
76087;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Jaya Bakti;32362
76088;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Karta Mulya;32362
76089;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Mendayun;32362
76090;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Mengulak;32362
76091;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Rasuan;32362
76092;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Rasuan Darat;32362
76093;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Simpang Karta Mulya;32362
76094;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku I;Tridadi;32362
76095;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Banban Rejo;32366
76096;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Dadi Mulyo;32366
76097;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Jati Mulya II;32366
76098;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Kalirejo;32366
76099;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Karang Negara;32366
76100;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Kertanegara;32366
76101;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Kota Negara;32366
76102;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Kota Negara Timur;32366
76103;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Margo Tani;32366
76104;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Margotani II;32366
76105;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Pandan Agung;32366
76106;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Pandan Jaya;32366
76107;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Rasuan Baru;32366
76108;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Riang Bandung;32366
76109;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Riang Bandung Ilir;32366
76110;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Sri Kencana;32366
76111;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Sri Mulyo;32366
76112;Sumatera Selatan;Kabupaten;Ogan Komering Ulu Timur;Madang Suku II;Sukanegara;32366
