No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
76502;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Bunut Barat;21211
76503;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Dadi Mulyo;21212
76504;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Kisaran Barat;21214
76505;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Kisaran Baru;21216
76506;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Kisaran Kota;21215
76507;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Mekar Baru;21216
76508;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Sei Renggas;21213
76509;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Sendang Sari;21218
76510;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Sidodadi;21212
76511;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Sidomukti;21217
76512;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Tebing Kisaran;21215
76513;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Barat;Tegal Sari;21218
76514;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Gambir Baru;21221
76515;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Karang Anyer;21229
76516;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Kedai Ledang;21227
76517;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Kisaran Naga;21219
76518;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Kisaran Timur;21222
76519;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Lestari;21221
76520;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Mutiara;21223
76521;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Selawan;21228
76522;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Sentang;21224
76523;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Siumbut Baru;21226
76524;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Siumbut-Umbut;21225
76525;Sumatera Utara;Kabupaten;Asahan;Kota Kisaran Timur;Teladan;21222
76526;Sumatera Utara;Kabupaten;Asahan;Meranti;Air Putih;21264
76527;Sumatera Utara;Kabupaten;Asahan;Meranti;Gajah;21264
76528;Sumatera Utara;Kabupaten;Asahan;Meranti;Meranti;21264
76529;Sumatera Utara;Kabupaten;Asahan;Meranti;Perkebunan Sei Balai (Baleh);21264
76530;Sumatera Utara;Kabupaten;Asahan;Meranti;Sei Beluru;21264
76531;Sumatera Utara;Kabupaten;Asahan;Meranti;Serdang;21264
76532;Sumatera Utara;Kabupaten;Asahan;Meranti;Sukajadi;21264
76533;Sumatera Utara;Kabupaten;Asahan;Pulau Rakyat;Bangun;21273
76534;Sumatera Utara;Kabupaten;Asahan;Pulau Rakyat;Baru;21273
76535;Sumatera Utara;Kabupaten;Asahan;Pulau Rakyat;Manis;21273
76536;Sumatera Utara;Kabupaten;Asahan;Pulau Rakyat;Mekar Sari;21273
76537;Sumatera Utara;Kabupaten;Asahan;Pulau Rakyat;Ofa Padang Mahondang;21273
76538;Sumatera Utara;Kabupaten;Asahan;Pulau Rakyat;Orika;21273
