No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
77002;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Emplasmen Kuala Namu;20552
77003;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Karang Anyar;20552
77004;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Pasar Enam Kuala Namu;20552
77005;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Pasar Lima Kebun Kelapa;20552
77006;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Serdang;20552
77007;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Sidoarjo Dua Ramunia;20552
77008;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Sidodadi Ramonia (Ramunia);20552
77009;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Sidourip;20552
77010;Sumatera Utara;Kabupaten;Deli Serdang;Beringin;Tumpatan;20552
77011;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Aji Baho;20358
77012;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Biru-Biru;20358
77013;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Candi Rejo;20358
77014;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Kuala Dekah;20358
77015;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Kuta Mulyo;20358
77016;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Madinding Julu;20358
77017;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Mbaruae (Mbaruai);20358
77018;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Namo Suro Baru;20358
77019;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Namo Tualang;20358
77020;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Penen;20358
77021;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Per Ria Ria;20358
77022;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Rumah Gerat;20358
77023;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Sari Laba Jahe;20358
77024;Sumatera Utara;Kabupaten;Deli Serdang;Biru-Biru;Selamat (Kampung Selamat);20358
