No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
77502;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Naga Saribu II;22475
77503;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Nagasaribu III;22475
77504;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Nagasaribu IV;22475
77505;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Nagasaribu V;22475
77506;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Pargaulan;22475
77507;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Parulohan;22475
77508;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Sibuntoan Parpea / Parpean;22475
77509;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Sibuntuon;22475
77510;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Sigompul;22475
77511;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Sigumpar;22475
77512;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Siharjulu;22475
77513;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Siponjot;22475
77514;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Sitio II;22475
77515;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Sitolu Bahal;22475
77516;Sumatera Utara;Kabupaten;Humbang Hasundutan;Lintong Nihuta;Tapian Nauli;22475
77517;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Aek Godang;22454
77518;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Batu Nagodang Siatas;22454
77519;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Hutajulu;22454
77520;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Janji Nagodang;22454
77521;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Onan Ganjang;22454
77522;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Parbotihan;22454
77523;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Parnapa;22454
77524;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Sampetua;22454
77525;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Sanggaran II;22454
77526;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Sibuluan;22454
77527;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Sigalogo;22454
77528;Sumatera Utara;Kabupaten;Humbang Hasundutan;Onan Ganjang;Sihikkit;22454
77529;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Ambobi Paranginan;22455
77530;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Banuarea;22455
77531;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Hauagong;22455
77532;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Karya;22455
77533;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Lumban Tonga-Tonga;22455
77534;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Manalu;22455
77535;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Pakkat Hauagong;22455
77536;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Panggugunan;22455
77537;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Parmonangan;22455
77538;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Peadungdung;22455
77539;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Pulo Godang;22455
77540;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Purba Baringin;22455
77541;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Purba Bersatu;22455
77542;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Purba Sianjur;22455
77543;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Rura Aek Sopang;22455
77544;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Rura Tanjung;22455
77545;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Siambaton;22455
77546;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Siambaton Pahae;22455
77547;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Sijarango;22455
77548;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Sijarango I;22455
77549;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Sipagabu;22455
77550;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pakkat;Tukka Dolok;22455
77551;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Lobu Tolong;22475
77552;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Lobutolong Habinsaran;22475
77553;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Lumban Barat;22475
77554;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Lumban Sialaman;22475
77555;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Lumban Sianturi;22475
77556;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Paranginan Selatan;22475
77557;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Paranginan Utara;22475
77558;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Pearung;22475
77559;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Pearung Silali;22475
77560;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Siboru Torop;22475
77561;Sumatera Utara;Kabupaten;Humbang Hasundutan;Paranginan;Sihonongan;22475
77562;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Baringin;22456
77563;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Baringin Natam;22456
77564;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Janji Hutanapa;22456
77565;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Pusuk I;22456
77566;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Pusuk II Simaninggir;22456
77567;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sihotang Hasugian Dolok I;22456
77568;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sihotang Hasugian Dolok II;22456
77569;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sihotang Hasugian Habinsaran;22456
77570;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sihotang Hasugian Tonga;22456
77571;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Simataniari;22456
77572;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Julu;22456
77573;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Runggu;22456
77574;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Selatan;22456
77575;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Sibulbulon;22456
77576;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Timur;22456
77577;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Timur II;22456
77578;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Tonga;22456
77579;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Toruan;22456
77580;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon Utara;22456
77581;Sumatera Utara;Kabupaten;Humbang Hasundutan;Parlilitan;Sionom Hudon VII;22456
77582;Sumatera Utara;Kabupaten;Humbang Hasundutan;Pollung;Aek Nauli I;22457
