No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
78002;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Batang Nadenggan;21465
78003;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Hajoran;21465
78004;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Huta Godang;21465
78005;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Langga Payung;21465
78006;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Marsonja;21465
78007;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Parimburan;21465
78008;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Sabungan;21465
78009;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Sampean;21465
78010;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Sei/Sungai Kanan;Ujung Gading;21465
78011;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Silangkitang;Aek Goti;21461
78012;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Silangkitang;Binanga Dua;21461
78013;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Silangkitang;Mandala Sena;21461
78014;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Silangkitang;Rintis;21461
78015;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Silangkitang;Suka Dame;21461
78016;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Silangkitang;Ulumahuam;21461
78017;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Aek Batu;21464
78018;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Aek Raso;21464
78019;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Asam Jawa;21464
78020;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Bangai;21464
78021;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Beringin Jaya;21464
78022;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Bukit Tujuh;21464
78023;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Bunut;21464
78024;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Pangarungan;21464
78025;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Pinang Dame;21464
78026;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Rasau;21464
78027;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Sungai Meranti;21464
78028;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Teluk Rampah;21464
78029;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Torgamba;21464
78030;Sumatera Utara;Kabupaten;Labuhanbatu Selatan;Torgamba;Torganda;21464
78031;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Aek Korsik;21455
78032;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Bandar Selamat;21455
78033;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Karang Ayer (Anyar);21455
78034;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Padang Maninjau;21455
78035;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Perkebunan Padang Halaban;21455
78036;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Perkebunan Panigoran;21455
78037;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Purwo Rejo;21455
78038;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Kuo;Sidomulyo;21455
78039;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Adian Torop;21455
78040;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Bandar Durian;21455
78041;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Kampung Yaman;21455
78042;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Pangkalan;21455
78043;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Perkebunan Aek Pamingke;21455
78044;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Perkebunan Halimbe;21455
78045;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Poldung;21455
78046;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Rombisan;21455
78047;Sumatera Utara;Kabupaten;Labuhanbatu Utara;Aek Natas;Sibito;21455
