No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
78502;Sumatera Utara;Kabupaten;Mandailing Natal;Kotanopan;Tambang Bustak;22994
78503;Sumatera Utara;Kabupaten;Mandailing Natal;Kotanopan;Tamiang;22994
78504;Sumatera Utara;Kabupaten;Mandailing Natal;Kotanopan;Tobang;22994
78505;Sumatera Utara;Kabupaten;Mandailing Natal;Kotanopan;Ujung Marisi;22994
78506;Sumatera Utara;Kabupaten;Mandailing Natal;Kotanopan;Usor Tolang;22994
78507;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Aek Marian Mg;22994
78508;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Bangun Purba;22994
78509;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Maga Dolok;22994
78510;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Maga Lombang;22994
78511;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Pangkat;22994
78512;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Pasar Maga;22994
78513;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Purba Baru;22994
78514;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Purba Lamo;22994
78515;Sumatera Utara;Kabupaten;Mandailing Natal;Lembah Sorik Marapi;Sian Tona;22994
78516;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Aek Garinggin;22983
78517;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Aek Manyuruk;22983
78518;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Bandar Limabung;22983
78519;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Bonca Bayuon;22983
78520;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Dalan Lidang;22983
78521;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Kampung Baru;22983
78522;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Lancat;22983
78523;Sumatera Utara;Kabupaten;Mandailing Natal;Lingga Bayu;Lobung;22983
