No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
79002;Sumatera Utara;Kabupaten;Nias;Gido;Ladea Orahua;22871
79003;Sumatera Utara;Kabupaten;Nias;Gido;Lahemo;22871
79004;Sumatera Utara;Kabupaten;Nias;Gido;Lasara Idanoi;22871
79005;Sumatera Utara;Kabupaten;Nias;Gido;Lasela;22871
79006;Sumatera Utara;Kabupaten;Nias;Gido;Loloanaa Gido;22871
79007;Sumatera Utara;Kabupaten;Nias;Gido;Lolozasai;22871
79008;Sumatera Utara;Kabupaten;Nias;Gido;Nifolo'o Lauru;22871
79009;Sumatera Utara;Kabupaten;Nias;Gido;Olindrawa Sisarahili;22871
79010;Sumatera Utara;Kabupaten;Nias;Gido;Sirete;22871
79011;Sumatera Utara;Kabupaten;Nias;Gido;Sisobahili;22871
79012;Sumatera Utara;Kabupaten;Nias;Gido;Soewe (Saewe);22871
79013;Sumatera Utara;Kabupaten;Nias;Gido;Somi;22871
79014;Sumatera Utara;Kabupaten;Nias;Gido;Somi Botogo'o;22871
79015;Sumatera Utara;Kabupaten;Nias;Gido;Tulumbaho Salo'o;22871
79016;Sumatera Utara;Kabupaten;Nias;Gido;Umbu;22871
79017;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Awela;22851
79018;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Dahadano Botombawo;22851
79019;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Ehosakhozi;22851
79020;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Fadoro Hunogoa;22851
79021;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Fadoro Lalai;22851
79022;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Fulolo Lalai;22851
79023;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Hilizia Lauru;22851
79024;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Lalai I/II;22851
79025;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Lawa-Lawa;22851
79026;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Lolofaoso;22851
79027;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Lolofaoso Lalai;22851
79028;Sumatera Utara;Kabupaten;Nias;Hili Serangkai (Hilisaranggu);Lolowua;22851
