No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
79502;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Hiliotalua;22881
79503;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Koto;22881
79504;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Lasonde;22881
79505;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Loboi;22881
79506;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Onaya;22881
79507;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Orahili;22881
79508;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Pasar Pulau Telo;22881
79509;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Rapa Rapa Melayu;22881
79510;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Sebuasi;22881
79511;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Siduaewali;22881
79512;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Sifitu Ewali;22881
79513;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Silimaewali;22881
79514;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Simaluaya;22881
79515;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Sinauru;22881
79516;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Siofa Ewali;22881
79517;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu;Sisarahili;22881
79518;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu Barat;Bawolawindra;22881
79519;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu Barat;Bawositora;22881
79520;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu Barat;Bintuang;22881
79521;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu Barat;Fuge;22881
79522;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu Barat;Hayo;22881
79523;Sumatera Utara;Kabupaten;Nias Selatan;Pulau-Pulau Batu Barat;Hilizamorogotano;22881
