No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
80002;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Huta Nopan;22763
80003;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Janji Lobi Lima;22763
80004;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Janji Matogu;22763
80005;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Pagaran Jae Batu;22763
80006;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Pagaran Jalu Jalu;22763
80007;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Pagaran Malaka;22763
80008;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Pagaran Mompang;22763
80009;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Pagaran Silindung;22763
80010;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Parsombaan;22763
80011;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Pasar Latong;22763
80012;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Sangkilon;22763
80013;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Siali Ali;22763
80014;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Sihiuk;22763
80015;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Surodingin;22763
80016;Sumatera Utara;Kabupaten;Padang Lawas;Lubuk Barumun;Tangga Bosi;22763
80017;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Aek Goti;22755
80018;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Balangka;22755
80019;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Gulangan;22755
80020;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Lubuk Gonting;22755
80021;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Padang Hasior Dolok;22755
80022;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Padang Hasior Lombang;22755
80023;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Paran Dolok;22755
80024;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Silenjeng;22755
80025;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Simaninggir;22755
80026;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Sitada Tada;22755
80027;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Tanjung Morang;22755
80028;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Ujung Gading;22755
80029;Sumatera Utara;Kabupaten;Padang Lawas;Sihapas Barumun;Ujung Padang;22755
80030;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Aek Tinga;22765
80031;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Aer Bale;22765
80032;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Ampolu;22765
80033;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Batu Gajah;22765
80034;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Bonan Dolok;22765
80035;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Gunung Baringin;22765
80036;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Gunung Tua;22765
80037;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Handio;22765
80038;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Hapung;22765
80039;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Hapung Torop;22765
80040;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Harang Jae;22765
80041;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Harang Julu;22765
80042;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Horuan;22765
80043;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Hurung Jilok;22765
80044;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Huta Imbaru;22765
80045;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Huta Raja Lama;22765
80046;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Janji Raja;22765
80047;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Lumban Huayan;22765
80048;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Mananti Sosa Julu;22765
80049;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Mandian;22765
80050;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Mondang;22765
80051;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Parapat;22765
80052;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Parau Sorat;22765
80053;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Pasar Ujung Batu;22765
80054;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Pasir Jae;22765
80055;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Pasir Julu;22765
80056;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Plasma Mondang (Trans Sosa IV);22765
80057;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Ramba;22765
80058;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Rao Rao Dolok;22765
80059;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Roburan;22765
80060;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Siborna Bunut;22765
80061;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Siginduang;22765
80062;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Simarancar;22765
80063;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Sisoma;22765
80064;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Sungai Jior;22765
80065;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Tanjung;22765
80066;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Tanjung Bale;22765
80067;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Tanjung Botung Sosa Jae;22765
80068;Sumatera Utara;Kabupaten;Padang Lawas;Sosa;Ujung Batu;22765
80069;Sumatera Utara;Kabupaten;Padang Lawas;Sosopan;Aek Bargot;22762
80070;Sumatera Utara;Kabupaten;Padang Lawas;Sosopan;Banua Tonga;22762
