No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
80502;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Aek Najaji;22733
80503;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Aek Tuhul;22733
80504;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Bargot Topong;22733
80505;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Baruas;22733
80506;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Batang Bahal;22733
80507;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Batunadua Jae;22733
80508;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Batunadua Julu;22733
80509;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Gunung Hasahatan;22733
80510;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Pudun Jae;22733
80511;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Pudun Julu;22733
80512;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Purwodadi;22733
80513;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Siloting;22733
80514;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Simirik;22733
80515;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Batunadua;Ujung Gurab;22733
80516;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Hutaimbaru;Huta Padang;22753
80517;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Hutaimbaru;Hutaimbaru;22753
80518;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Hutaimbaru;Lembah Lubuk Manik;22753
80519;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Hutaimbaru;Lubuk Raya;22753
80520;Sumatera Utara;Kota;Padang Sidempuan;Padang Sidempuan Hutaimbaru;Palopat Maria;22753
