No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
81002;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Rimbun;20992
81003;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Serbananti;20992
81004;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Sibarau (Sibangu);20992
81005;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Silau Padang;20992
81006;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Simalas;20992
81007;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Sipispis;20992
81008;Sumatera Utara;Kabupaten;Serdang Bedagai;Sipispis;Tinokkah;20992
81009;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Bagan Kuala;20996
81010;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Mangga Dua;20996
81011;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Nagur;20996
81012;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Pekan Tanjung Beringin;20996
81013;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Pematang Cermai;20996
81014;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Pematang Terang;20996
81015;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Sukajadi;20996
81016;Sumatera Utara;Kabupaten;Serdang Bedagai;Tanjung Beringin;Tebing Tinggi;20996
81017;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Bahilang;20998
81018;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Binjai;20998
81019;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Kuta Pinang;20998
81020;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Laut Tador;20998
81021;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Paya Pasir;20998
81022;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Paya Pinang;20998
81023;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Penggalangan;20998
81024;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Penggalian;20998
81025;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Sibulan;20998
81026;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Syahbandar;Tanah Besih;20998
81027;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Bah Sumbu;20998
81028;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Gunung Kataran;20998
81029;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Jambu;20998
81030;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Kedai Damar;20998
81031;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Kuta Baru;20998
81032;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Mariah Padang;20998
81033;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Naga Kesiangan;20998
81034;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Paya Bagas;20998
81035;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Paya Lombang;20998
81036;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Paya Mabar;20998
81037;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Penonggol;20998
81038;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Pertapaan;20998
81039;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Sei Priok (Sungai Periok);20998
81040;Sumatera Utara;Kabupaten;Serdang Bedagai;Tebing Tinggi;Sei Serimah;20998
81041;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Bogak Besar;20997
81042;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Liberia;20997
81043;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Makmur;20997
81044;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Matapao;20997
81045;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Pasar Baru;20997
81046;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Pekan Sialang Buah;20997
81047;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Pematang Guntung;20997
81048;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Pematang Kuala;20997
81049;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Pematang Seterak (Strak);20997
81050;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Sei/Sungai Buluh;20997
81051;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Sentang;20997
81052;Sumatera Utara;Kabupaten;Serdang Bedagai;Teluk Mengkudu;Sialang Buah;20997
