No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
81502;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Selatan;Tanjungbalai Kota I;21311
81503;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Selatan;Tanjungbalai Kota II;21312
81504;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Utara;Kuala Silau Bestari;21324
81505;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Utara;Matahalasan;21325
81506;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Utara;Sejahtera;21323
81507;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Utara;Tanjungbalai Kota III;21321
81508;Sumatera Utara;Kota;Tanjung Balai;Tanjung Balai Utara;Tanjungbalai Kota IV;21322
81509;Sumatera Utara;Kota;Tanjung Balai;Teluk Nibung;Beting Kwala/Kuala Kapias;21335
81510;Sumatera Utara;Kota;Tanjung Balai;Teluk Nibung;Kapias Pulau Buaya;21331
81511;Sumatera Utara;Kota;Tanjung Balai;Teluk Nibung;Pematang Pasir;21333
81512;Sumatera Utara;Kota;Tanjung Balai;Teluk Nibung;Perjuangan;21332
81513;Sumatera Utara;Kota;Tanjung Balai;Teluk Nibung;Sei Merbau;21334
81514;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Aek Latong;22758
81515;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Aek Urat;22758
81516;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Biru;22758
81517;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Huta Baru;22758
81518;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Huta Tonga;22758
81519;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Lobu Tayas;22758
81520;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Sigolang;22758
81521;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Sihulambu;22758
81522;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Silangkitang;22758
81523;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Tapus Godang;22758
81524;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Tapus Sipagabu;22758
81525;Sumatera Utara;Kabupaten;Tapanuli Selatan;Aek Bilah;Tolang;22758
81526;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Aek Nabara;22735
81527;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Lembah Lubuk Raya;22735
81528;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Lobulayan Sigordang;22735
81529;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Panobasan;22735
81530;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Panobasan Lombang;22735
81531;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Parsalakan;22735
81532;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Sialogo;22735
81533;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Sibangkua;22735
81534;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Sigumuru;22735
81535;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Simatorkis Sisoma;22735
81536;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Sisundung;22735
81537;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Sitaratoit;22735
81538;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Sitinjak;22735
81539;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Barat;Siuhom;22735
81540;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Sangkunur;Aek Pardomuan;22735
81541;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Sangkunur;Bandar Tarutung;22735
81542;Sumatera Utara;Kabupaten;Tapanuli Selatan;Angkola Sangkunur;Batu Godang;22735
