No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
82002;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Lontung Jae I;22473
82003;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Lontung Jae II;22473
82004;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Padang Siandomang;22473
82005;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Parinsoran Pangorian;22473
82006;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Parmanuhan;22473
82007;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Parsosoran;22473
82008;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Sibaganding;22473
82009;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Sibalanga;22473
82010;Sumatera Utara;Kabupaten;Tapanuli Utara;Garoga;Simpang Bolon;22473
82011;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Aritonang;22476
82012;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Bariba Niaek;22476
82013;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Batu Binumbun;22476
82014;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Dolok Martumbur;22476
82015;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Huta Ginjang;22476
82016;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Huta Lontung;22476
82017;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Huta Nagodang;22476
82018;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Papande;22476
82019;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Sampuran;22476
82020;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Sibandang;22476
82021;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Silali Toruan;22476
82022;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Silando;22476
82023;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Simatupang;22476
82024;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Sitanggor;22476
82025;Sumatera Utara;Kabupaten;Tapanuli Utara;Muara;Unte Mungkur;22476
82026;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Banua Luhu;22458
82027;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Dolok Saribu;22458
82028;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Hasibuan;22458
82029;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Lubis;22458
82030;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Lumban Ina Ina;22458
82031;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Lumban Julu;22458
82032;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Lumban Motung;22458
82033;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Lumban Silintong;22458
82034;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Pagaran;22458
82035;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Parhorboan;22458
82036;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Sibaragas;22458
82037;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Simamora Hasibuan;22458
82038;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Sipultak;22458
82039;Sumatera Utara;Kabupaten;Tapanuli Utara;Pagaran;Sipultak Dolok;22458
82040;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Nahornop Marsada;22465
82041;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Pardamean Nainggolan;22465
82042;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Pardomuan Nainggolan;22465
82043;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Parsaoran Nainggolan;22465
82044;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Parsaoran Samosir;22465
82045;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Sarulla (Pasar Sarulla);22465
82046;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Setia;22465
82047;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Sigurung Gurung;22465
82048;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Silangkitang;22465
82049;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Siopat Bahal;22465
82050;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Sitolu Ompu;22465
82051;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Sukamaju;22465
82052;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Jae;Tordolok Nauli;22465
82053;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Huta Barat;22463
82054;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Janji Matogu;22463
82055;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lobu Pining;22463
82056;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lontung Dolok;22463
82057;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lumban Dolok;22463
82058;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lumban Gaol;22463
82059;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lumban Garaga;22463
82060;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lumban Jaean;22463
82061;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Lumban Tonga;22463
82062;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Onan Hasang;22463
82063;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Pangurdotan;22463
82064;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Pantis;22463
82065;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Sibaganding;22463
82066;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Simanampang;22463
82067;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Simardangiang;22463
82068;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Simasom;22463
82069;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Simasom Toruan;22463
82070;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Simataniari;22463
82071;Sumatera Utara;Kabupaten;Tapanuli Utara;Pahae Julu;Sitoluama;22463
82072;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Batu Nadua;22472
82073;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Batumanumpak;22472
82074;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Godung Borotan;22472
82075;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Harianja;22472
82076;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Hutaraja;22472
82077;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Lumban Sinaga Simatupang;22472
82078;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Lumban Siregar;22472
82079;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Najumambe;22472
82080;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Padang Parsadaan;22472
82081;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Pakpahan;22472
82082;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Pansurnatolu;22472
82083;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Parlombuan;22472
82084;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Parratusan;22472
82085;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Parsibarungan;22472
82086;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Parsorminan I;22472
82087;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Purbatua;22472
82088;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Rahut Bosi;22472
82089;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Rahut Bosi Onan;22472
82090;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Sampagul;22472
82091;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Sibingke;22472
82092;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Sigotom Dolok Nauli;22472
82093;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Sigotom Julu;22472
82094;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Sigotom Timur;22472
82095;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Silantom Jae;22472
82096;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Silantom Julu;22472
82097;Sumatera Utara;Kabupaten;Tapanuli Utara;Pangaribuan;Silantom Tonga;22472
82098;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Aek Raja;22453
82099;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Batu Arimo;22453
82100;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Horison Ranggigit;22453
82101;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Hutajulu;22453
82102;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Hutajulu Parbalik/Purbalik;22453
82103;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Hutatinggi;22453
82104;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Hutatua;22453
82105;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Lobusunut;22453
82106;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Manalu;22453
82107;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Manalu Dolok;22453
82108;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Manalu Purba;22453
82109;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Pertengahan;22453
82110;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Purba Dolok;22453
82111;Sumatera Utara;Kabupaten;Tapanuli Utara;Parmonangan;Sisordak;22453
82112;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Bonani Dolok;22465
82113;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Huta Nagodang;22465
82114;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Janji Nauli;22465
82115;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Pardomuan Janji Angkola;22465
82116;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Parsaoran Janji Angkola;22465
82117;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Purbatua;22465
82118;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Robean;22465
82119;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Selamat;22465
82120;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Sibulan Bulan;22465
82121;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Sidua Bahal;22465
82122;Sumatera Utara;Kabupaten;Tapanuli Utara;Purbatua;Sitolu Ompu (Bahal);22465
82123;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Enda Portibi;22417
82124;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Lobuhole;22417
82125;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Lumban Siagian Jae;22417
82126;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Lumban Siagian Julu;22417
82127;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Pansur Napitu;22419
82128;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Sangkaran;22418
82129;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Si Raja Hutagalung;22417
82130;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Sidagal;22417
82131;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Simanampang;22417
82132;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Simorangkir Habinsaran;22417
82133;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Simorangkir Julu;22417
82134;Sumatera Utara;Kabupaten;Tapanuli Utara;Siatas Barita;Sitompul;22418
82135;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Bahal Batu I;22474
82136;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Bahal Batu II;22474
82137;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Bahal Batu III;22474
82138;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Hutabulu;22474
82139;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Lobu Siregar I;22474
82140;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Lobu Siregar II;22474
82141;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Lumban Tonga Tonga;22474
82142;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Paniaran;22474
82143;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Parik Sabungan;22474
82144;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Pasar Siborong Borong;22474
82145;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Pohan Jae;22474
82146;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Pohan Julu;22474
82147;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Pohan Tonga;22474
82148;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Siaro;22474
82149;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Siborong-Borong I;22474
82150;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Siborong-Borong II;22474
82151;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Sigumbang;22474
82152;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Silait-Lait;22474
82153;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Sitabotabo;22474
82154;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Sitabotabo Toruan;22474
82155;Sumatera Utara;Kabupaten;Tapanuli Utara;Siborong-Borong;Sitampurung;22474
82156;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Aek Nabara;22466
82157;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Dolok Sanggul;22466
82158;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Dolok Saut;22466
82159;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Lobu Sihim;22466
82160;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Pardomuan;22466
82161;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Silosung;22466
82162;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Simangumban Jae;22466
82163;Sumatera Utara;Kabupaten;Tapanuli Utara;Simangumban;Simangumban Julu;22466
82164;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Aek Nauli I;22471
82165;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Aek Nauli II;22471
82166;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Aek Nauli III;22471
82167;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Aek Nauli IV;22471
82168;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Onan Runggu I;22471
82169;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Onan Runggu II;22471
82170;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Onan Runggu III;22471
82171;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Onan Runggu IV;22471
82172;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sabungan Nihuta I;22471
82173;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sabungan Nihuta II;22471
82174;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sabungan Nihuta III;22471
82175;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sabungan Nihuta IV;22471
82176;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sabungan Nihuta V;22471
82177;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Siabal Abal I;22471
82178;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Siabal Abal II;22471
82179;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Siabal Abal III;22471
82180;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Siabal Abal IV;22471
82181;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Siabal-abal V;22471
82182;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Siabal-abal VI;22471
82183;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sipahutar I;22471
82184;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sipahutar II;22471
82185;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Sipahutar III;22471
82186;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Tapian Nauli I;22471
82187;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Tapian Nauli II;22471
82188;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipahutar;Tapian Nauli III;22471
82189;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipoholon;Huta Raja;22452
82190;Sumatera Utara;Kabupaten;Tapanuli Utara;Sipoholon;Huta Raja Hasundutan;22452
