No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
82502;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Marom;22385
82503;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Parbagasan Janji Matogu;22385
82504;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Parhabinsaran Janji Matogu;22385
82505;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Parik;22385
82506;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Partoruan Janji Matogu;22385
82507;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Sampuara;22385
82508;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Sibuntuon;22385
82509;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Sigaol Barat;22385
82510;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Sigaol Timur;22385
82511;Sumatera Utara;Kabupaten;Toba Samosir;Uluan;Siregar Aek Nalas;22385
